"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.09.2023","3.152,53","3.126,57","3.155,45","3.116,72","","0,42%"
"14.09.2023","3.139,49","3.144,29","3.148,50","3.072,82","","-0,28%"
"13.09.2023","3.148,32","3.189,08","3.191,57","3.148,32","","-0,56%"
"12.09.2023","3.165,92","3.118,14","3.165,92","3.117,70","","1,39%"
"11.09.2023","3.122,37","3.145,26","3.153,61","3.106,92","","-0,65%"
"08.09.2023","3.142,88","3.178,44","3.188,77","3.114,39","","-0,83%"
"07.09.2023","3.169,07","3.247,90","3.262,73","3.145,25","","-2,35%"
"06.09.2023","3.245,47","3.270,84","3.270,84","3.236,79","","-0,58%"
"05.09.2023","3.264,43","3.273,39","3.287,34","3.246,46","","-0,14%"
"04.09.2023","3.268,97","3.242,49","3.268,97","3.242,40","","1,16%"
"01.09.2023","3.231,35","3.230,53","3.232,92","3.214,95","","0,10%"
"31.08.2023","3.227,99","3.218,48","3.234,68","3.211,94","","0,48%"
"30.08.2023","3.212,68","3.214,11","3.220,85","3.193,18","","0,04%"
"29.08.2023","3.211,36","3.205,06","3.218,40","3.191,31","","0,40%"
"28.08.2023","3.198,72","3.161,36","3.202,24","3.161,36","","1,31%"
"25.08.2023","3.157,33","3.150,03","3.158,61","3.132,07","","0,64%"
"24.08.2023","3.137,37","3.117,02","3.137,37","3.108,17","","-0,28%"
"23.08.2023","3.146,20","3.180,39","3.184,17","3.113,24","","-0,57%"
"22.08.2023","3.164,25","3.146,42","3.172,30","3.124,19","","0,77%"
"21.08.2023","3.139,93","3.139,29","3.150,61","3.122,37","","0,92%"
"18.08.2023","3.111,22","3.077,78","3.111,22","3.058,01","","1,71%"
"17.08.2023","3.059,02","3.069,81","3.076,31","3.031,73","","0,31%"
"16.08.2023","3.049,46","3.109,46","3.122,34","3.015,57","","-2,11%"
"15.08.2023","3.115,25","3.083,32","3.163,74","3.068,66","","-0,50%"
"14.08.2023","3.131,00","3.186,47","3.225,78","3.117,31","","-0,78%"
"11.08.2023","3.155,51","3.158,59","3.163,47","3.138,04","","0,21%"
"10.08.2023","3.148,86","3.122,06","3.148,86","3.115,85","","1,59%"
"09.08.2023","3.099,52","3.106,03","3.120,25","3.083,77","","0,46%"
"08.08.2023","3.085,31","3.077,63","3.092,54","3.026,72","","0,04%"
"07.08.2023","3.084,08","3.120,54","3.153,60","3.084,08","","-0,27%"
"04.08.2023","3.092,44","3.158,53","3.194,83","3.073,69","","-1,76%"
"03.08.2023","3.147,80","3.111,70","3.150,28","3.094,27","","1,33%"
"02.08.2023","3.106,46","3.096,72","3.123,45","3.080,63","","0,41%"
"01.08.2023","3.093,64","3.085,97","3.114,56","3.055,25","","0,66%"
"31.07.2023","3.073,50","3.026,93","3.073,50","3.026,93","","2,16%"
"28.07.2023","3.008,61","2.986,35","3.008,61","2.978,12","","0,69%"
"27.07.2023","2.987,85","2.975,52","2.992,47","2.975,52","","0,59%"
"26.07.2023","2.970,42","2.974,21","2.982,47","2.954,90","","-0,17%"
"25.07.2023","2.975,36","2.948,87","2.975,36","2.943,74","","1,29%"
"24.07.2023","2.937,47","2.929,23","2.947,17","2.925,10","","0,48%"
"21.07.2023","2.923,54","2.890,45","2.925,54","2.889,78","","0,21%"
"20.07.2023","2.917,48","2.947,08","2.947,29","2.905,02","","-0,88%"
"19.07.2023","2.943,43","2.959,41","2.966,72","2.938,66","","-0,38%"
"18.07.2023","2.954,52","2.923,69","2.955,81","2.922,74","","1,27%"
"17.07.2023","2.917,61","2.889,09","2.917,72","2.880,11","","0,51%"
"14.07.2023","2.902,72","2.882,96","2.902,72","2.874,44","","0,59%"
"13.07.2023","2.885,63","2.899,98","2.912,15","2.873,00","","-0,39%"
"12.07.2023","2.896,83","2.870,61","2.897,28","2.870,61","","1,28%"
"11.07.2023","2.860,33","2.865,64","2.867,36","2.851,01","","0,12%"
"10.07.2023","2.856,76","2.838,85","2.864,32","2.838,52","","0,86%"
"07.07.2023","2.832,51","2.823,89","2.832,82","2.814,38","","0,46%"
"06.07.2023","2.819,60","2.816,74","2.837,49","2.813,38","","0,52%"
"05.07.2023","2.805,00","2.795,40","2.813,76","2.795,40","","-0,11%"
"04.07.2023","2.808,22","2.798,02","2.808,22","2.776,79","","0,51%"
"03.07.2023","2.793,93","2.795,58","2.804,93","2.790,81","","-0,12%"
"30.06.2023","2.797,37","2.796,00","2.800,12","2.779,61","","0,03%"
"29.06.2023","2.796,41","2.790,27","2.804,80","2.783,53","","0,56%"
"28.06.2023","2.780,92","2.781,10","2.787,52","2.766,93","","0,15%"
"27.06.2023","2.776,63","2.759,61","2.785,33","2.743,07","","0,71%"
"26.06.2023","2.757,13","2.771,52","2.784,28","2.741,33","","-1,36%"
"23.06.2023","2.795,06","2.790,04","2.795,06","2.767,82","","-0,74%"
"22.06.2023","2.815,83","2.817,30","2.820,43","2.805,92","","-0,12%"
"21.06.2023","2.819,30","2.808,87","2.821,88","2.794,68","","0,56%"
"20.06.2023","2.803,69","2.810,14","2.814,72","2.778,00","","-0,40%"
"19.06.2023","2.815,07","2.808,04","2.816,57","2.783,69","","0,51%"
"16.06.2023","2.800,79","2.809,28","2.813,74","2.783,71","","0,02%"
"15.06.2023","2.800,17","2.776,77","2.809,42","2.764,89","","1,27%"
"14.06.2023","2.765,18","2.777,20","2.786,06","2.758,35","","0,29%"
"13.06.2023","2.757,28","2.715,31","2.757,28","2.715,15","","1,82%"
"09.06.2023","2.708,04","2.717,20","2.721,84","2.705,24","","-0,06%"
"08.06.2023","2.709,69","2.693,60","2.709,69","2.688,31","","0,56%"
"07.06.2023","2.694,69","2.690,94","2.711,72","2.674,11","","0,50%"
"06.06.2023","2.681,25","2.667,76","2.687,41","2.628,00","","-0,48%"
"05.06.2023","2.694,14","2.726,17","2.738,82","2.679,30","","-0,93%"
"02.06.2023","2.719,48","2.684,59","2.720,47","2.684,59","","-0,08%"
"01.06.2023","2.721,73","2.720,21","2.729,97","2.709,33","","0,15%"
"31.05.2023","2.717,64","2.698,11","2.718,27","2.676,27","","0,70%"
"30.05.2023","2.698,75","2.712,04","2.748,60","2.687,81","","-1,22%"
"29.05.2023","2.732,00","2.697,46","2.732,00","2.697,46","","1,86%"
"26.05.2023","2.682,03","2.650,38","2.685,14","2.645,54","","1,21%"
"25.05.2023","2.649,98","2.662,85","2.663,51","2.631,03","","-0,19%"
"24.05.2023","2.654,99","2.643,73","2.659,68","2.626,43","","0,50%"
"23.05.2023","2.641,66","2.641,05","2.648,69","2.607,63","","0,32%"
"22.05.2023","2.633,26","2.648,30","2.652,97","2.622,35","","0,27%"
"19.05.2023","2.626,16","2.627,59","2.635,80","2.612,47","","-0,26%"
"18.05.2023","2.632,91","2.650,12","2.658,57","2.624,49","","-0,06%"
"17.05.2023","2.634,48","2.637,51","2.646,61","2.623,15","","0,03%"
"16.05.2023","2.633,71","2.645,94","2.655,73","2.621,59","","0,87%"
"15.05.2023","2.611,07","2.581,64","2.611,71","2.581,64","","1,79%"
"12.05.2023","2.565,17","2.570,65","2.584,91","2.552,05","","-1,15%"
"11.05.2023","2.595,12","2.573,41","2.610,80","2.567,98","","1,82%"
"10.05.2023","2.548,63","2.483,92","2.556,67","2.483,79","","0,83%"
"08.05.2023","2.527,59","2.528,74","2.538,23","2.513,84","","-0,42%"
"05.05.2023","2.538,24","2.544,47","2.555,39","2.529,08","","0,54%"
"04.05.2023","2.524,51","2.524,97","2.547,20","2.524,36","","-0,31%"
"03.05.2023","2.532,42","2.585,40","2.586,17","2.532,42","","-1,86%"
"02.05.2023","2.580,51","2.623,29","2.635,53","2.560,09","","-2,07%"
"28.04.2023","2.634,94","2.653,93","2.657,90","2.608,02","","-0,42%"
"27.04.2023","2.646,18","2.620,65","2.646,18","2.617,04","","0,99%"
"26.04.2023","2.620,33","2.625,62","2.631,13","2.614,98","","-0,25%"
"25.04.2023","2.626,86","2.639,67","2.642,12","2.619,67","","-0,33%"
"24.04.2023","2.635,43","2.636,76","2.651,80","2.609,40","","-0,17%"
